******Format of cpu stats log file: Date/Time     CPU Temp        Load Average    CPU Frequency   Governor***
Thu Apr 22 23:35:49 CDT 2010  48        14.33 11.72 6.57 12/227 8231        600000        userspace
Thu Apr 22 23:35:55 CDT 2010  48        14.30 11.76 6.61 14/227 8237        600000        userspace
Thu Apr 22 23:36:00 CDT 2010  48        14.12 11.76 6.64 13/225 8257        600000        userspace
Thu Apr 22 23:36:05 CDT 2010  48        14.11 11.80 6.68 13/226 8283        600000        userspace
Thu Apr 22 23:36:10 CDT 2010  48        13.94 11.80 6.71 13/226 8290        600000        userspace
Thu Apr 22 23:36:16 CDT 2010  48        13.94 11.84 6.74 12/226 8296        600000        userspace
Thu Apr 22 23:36:21 CDT 2010  53        13.71 11.86 6.81 13/226 8302        600000        userspace
Thu Apr 22 23:36:27 CDT 2010  53        13.50 11.85 6.83 14/226 8309        600000        userspace
Thu Apr 22 23:36:32 CDT 2010  53        13.70 11.91 6.88 12/227 8316        600000        userspace
Thu Apr 22 23:36:37 CDT 2010  53        13.40 11.88 6.89 13/227 8322        600000        userspace
Thu Apr 22 23:36:42 CDT 2010  53        13.29 11.88 6.92 12/227 8328        600000        userspace
Thu Apr 22 23:36:48 CDT 2010  53        13.18 11.89 6.95 14/227 8335        600000        userspace
Thu Apr 22 23:36:53 CDT 2010  53        12.93 11.85 6.96 13/227 8342        600000        userspace
Thu Apr 22 23:36:58 CDT 2010  53        12.69 11.82 6.98 12/227 8348        600000        userspace
Thu Apr 22 23:37:04 CDT 2010  53        12.48 11.79 7.00 12/227 8354        600000        userspace
Thu Apr 22 23:37:09 CDT 2010  53        12.28 11.76 7.01 12/227 8361        600000        userspace
Thu Apr 22 23:37:14 CDT 2010  53        12.10 11.73 7.03 13/227 8369        600000        userspace
Thu Apr 22 23:37:20 CDT 2010  53        11.93 11.70 7.04 13/227 8375        600000        userspace
Thu Apr 22 23:37:25 CDT 2010  53        11.77 11.68 7.06 12/227 8381        600000        userspace
Thu Apr 22 23:37:30 CDT 2010  53        11.63 11.65 7.07 12/227 8388        600000        userspace
Thu Apr 22 23:37:35 CDT 2010  53        11.58 11.64 7.10 12/227 8394        600000        userspace
Thu Apr 22 23:37:41 CDT 2010  53        11.69 11.66 7.13 13/228 8403        600000        userspace
